id,puzzle,clues,difficulty,solutions_found,nodes_explored,max_recursion_depth,solve_time_ms,is_solved,leaves
0,puzzle,0,0.0,0,0,0,0,false,0
1,1..5.37..6.3..8.9......98...1.......8761..........6...........7.8.9.76.47...6.312,27,2.2,1,110300,53,15,true,33553
11,..3.8.5...4.....9.7..15.4..98...1..5..2.7983...5.6....1....6.5.8.....7..........4,26,1.5,1,3073,54,0,true,855
21,...8.....86....95.3.9..24.8.....132.6.......52...................19.3.4...2..4.3.,23,0.0,1,13659,57,2,true,5411
31,5..6..7..38.....4.1..3.4..5.6.8..2..45.2..........157.6...1............8....4.137,26,0.0,1,3677,54,0,true,1086
41,5.7.....8..6.4...7.937........3.7.5..3..2......2..18.........1.1..4...9.9.4..3...,24,3.8,1,18266,56,2,true,5611
51,95..6...4...8.........5..1...6..1..92.....3..4....98...13...7..67...2..........35,23,0.0,1,4854,57,0,true,1520
61,.6497....5....1...9...4.5......32......7..42...8.1..5.735.....969..8..7.......6..,26,2.2,1,10832,54,1,true,3011
71,.3..8...54.7...62........8.....24.968...........6.14......59...2.5.16..9.7.......,24,2.0,1,27909,56,3,true,9476
81,.....2.8..4.15.........63.5.3...91..7.4.3...9....41.2......7...8...1..3.1.....67.,25,2.2,1,3575,55,0,true,1195
91,5..42.87.64.......3.8.....5.7...3.41...2......81...2.6.6....91....73.............,24,0.0,1,692,56,0,true,245
101,.4......39..7...4.3.6...2.......9.67....2..54..5.1.9.2..81.2....2..45..9.53......,27,4.6,1,3556,53,0,true,975
111,..53.....83......9...9.6..4.....5.4...8.1.63.........1...57.2...1.......9.28..5..,23,1.6,1,22413,57,3,true,5744
121,..5.243...8..1....2.3...95........2.....4.6.7...8.359....4.2.1...9..7.......5.4..,25,0.0,1,82612,55,10,true,29561
131,8.21...5......2..4.31....9.........5...6.92.8.4..1......4..86..7..9.....6.3...9..,24,0.0,1,97799,56,13,true,31958
141,2...561...7...8...6....4....56..7.2..9.8.5.4...7.3....1.8....94..5.....8........1,25,0.0,1,11773,55,1,true,3602
151,...3.65.1...5....6..89...2.......7.....8....4296.1....9.2.....5.7..346...3.1.....,25,0.0,1,40419,55,5,true,12306
161,23.....5.75.....6.....6...81....869......9..1.......7.8.19.72.....4......6...15..,24,2.4,1,68526,56,9,true,21794
171,8...7.........65.8..13.......46.1..59...5...7...2..3...75.4.8...1.....53...12....,25,3.1,1,46226,55,6,true,12924
